text	Class
Here I had a better education but still faced same problem from my parents. They do not not show concern about my academic work . This situation get me angry all the time	Negative
"Secondly as a boy with a liver disease, I hardly have the time and ability to study; I miss classes any time I have to go to the hospital"	Negative
"With the regular routine of learning, watching television and eating at home has cast me away from the outside world. Always in doors, I do not get the opportunity to explore and spend same good times with my friends and families"	Negative
"One thing that has been bothering me is the fact that my father easily regrets having me in a secondary school because when he looks at the items I need and he does not have the money to provide me with them, he quickly gets discouraged."	Negative
I have always been saying that life is so ridiculous to me and also my life is full of mysteries. Despite the fact that I am having the access and privilege towards education unlike my senior brothers.	Negative
I feel very uncomfortable when I go home and my parents are not able to get money for me back to school and this often piss me off	Negative
"During vacations, I finds it difficult to search for some topics that I have been thought in school on the internet. And that frustrates me a lot"	Negative
One day a teacher slapped me and I felt like pelting him with a stone	Negative
"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used ."	Negative
Having been angry and unpleasant towards my parents.	Negative
I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.	Negative
I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.	Negative
"I was accused of having done something, which I hadn't and got very angry."	Negative
"We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings."	Negative
When friends try to put me down or hurt me.	Negative
"When I am accused of something I have not done, I get unbelievably angry."	Negative
When I got spanked by a teacher anger and later he regretted it terribly.	Negative
Life is fan when you have all your loved ones around. Life is fun when you always get what you want. 	Positive
Life for me has been like the ground. You leave it bare and it becomes hard or compacted but when you plough it becomes soft and accepts anything that comes it way (seeds) but as life goes on you will need rain or water to help whatever is on the land grow. This is how life has been for me for the past 17 years.  	Positive
"Even though my parents are supporting me same way, somehow I am still encouraged to move forward. I always thought life is like bed of roses even though I wasnŐtŐ born with a silver spoon in my mouth but that was what I thought until I came to a school where there are no parents to direct you or a mother to mother you but by the grace of God I am making it"	Positive
Whenever I am in difficulty my friends helps me a lot	Positive
But by the mercy of God I managed to do my best and am still trying and I hope one day I will change totally.   	Positive
"At home, I find it very difficult to take a book and read but whenever I go to school, I try my best to study since most of my pears are always by their books. I feel quite OK to approach my pears when I have difficulties in a subject. My relationship with pears help me in my academic life since I can only study when I see my friends studying"	Positive
"Anyway this has also affected my life positively in the sense that I now know that if I do want to live in this situation forever, I would have to study hard in order to make life in the future much more comfortable."	Positive
"Well life is interesting. Some say life is fun, some say life is what you have or what you can do and etc. But I say life is how you make it. "	Positive
Life entails so many challenges but there is one thing I know for sure is that if Christ is part of your life you will be able to face anything in life	Positive
"Due to the hard work instilled in me, I have been able to climb the academic ladder successfully and hoping to get to the peak. "	Positive
"One day, an old woman came to my mother, the old lady told my mother that her father who has pass away long ago left her gold, and he told her that when the old lady verified that my mother is needy she would give the gold to her. "	Positive
"Most at times, it becomes very difficult for me to get just (GH˘2) two cedis as my pocket money to school but I always thank the Almighty that both my parents are still alive."	Negative
"ŇHard work is always crowned with successÓ. This is the most memorable proverb I cherish so much. Any time I remember this proverb, it renews my strength and abilities to work harder not relying on my inabilities"	Positive
"In the beginning, I excelled, now I am excelling and I will keep on excelling till my last breadth of life is ceased"	Positive
It is my hope to move further in life for me to be able to fill in the gaps of poverty in my family for them to see witness it that they have wasted absolutely nothing on me	Positive
This is why I am trying all my possible best to study hard so that in the future I can take very good care of my mum and my younger siblings.	Positive
I am Thankful to God for the lives of my parents. I hope for better things in the future.	Positive
"At the eleventh hour, I would like student and citizens in the nation that, they should lead a moral life style to be free from punishment and I would like to greet my collegues who just completed with me last mostly Francis Adu Yeboah and Abigail Frimpong. "	Positive
I expect to pass my final exams wth a flying colors 	Positive
"Again, I am an average student which I am trying to become the best in my class and the school as a whole but there is two particular subjects which do not help me at all whenever I strive very hard to score higher marks. These subjects are maths and science. So this also account for my low academic performance in school"	Positive
I relish to perform very well in my upcomming exams	Positive
I was with my parents in Sekyere east and my father decided to move to the city to work to be able to get money to cater for my siblings and I. At that time all my fatherŐs brothers and sisters have moved to Kumasi remaining one. 	Positive
"In modern Ghana, even the highly educated are jobless how much more the uneducated. My parents and elder siblings always advise me to learn hard and take my studies more seriously in order to have a better future."	Positive
It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.	Negative
I got myself involved with a girl when I was in the pre- school and this affected my academic even though I was still performing well. I knew I could have done better.	Negative
I have lot of things helping me to go through life. Only that I have bad habit like stealing but my mother beat me over it. 	Negative
but I have some few bad friends who always disturb me	Negative
I have been deprived of the freedom to go out to play with friends due to the difficult task of learning and making the grades during the WASSCE	Negative
I sometimes dispise some of our teachers who punish us for no reason	Negative
"Tough though things are becoming, I wholeheartedly accept every misfortune that comes in my way or I encounter that is why I rely on my abilities and strive to move forward in life, no matter the circumstances"	Negative
"First and foremost, lack of financial support by my parents, is the major factor that affect my education. "	Negative
"Additionally, the techniques and skills used by teachers when teaching during classes hours is disgusting"	Negative
"If a teacher does not have enough skills and techniques in teaching, it would be difficult for him or her to give-out proper interpretation on a topic or subject for the students to have enough understanding for what he or she is teaching."	Negative
"Whenever I see my mum struggling so hard to make ends meet, I say to myself that I will never let her down so I will study hard to accomplish my goal in life."	Positive
"So he took me home showed my room to me. But one thing that IŐm encountering is that, in fact the time I use to learn is not enough because IŐm staying with someone whom I do not relate to, I work very hard so sometimes even when I got a little chance to learn, I feel tired and dizzy. "	Negative
I feel bad that I am not able to support my mother. This is because I am still in school	Negative
"When I return, I came and my father had  a job at Winneba campus at Kumasi as a casual worker and became permanent worker. There that my mother bedding was reduced but I also put up bad behaviours that is not good for me. "	Negative
"I donŐt like taking friends but I have classmate. The reason why I am saying this is that, it prevent my studies from been disturbed by the friends I will take"	Positive
"Since I started the Senior High School at Bompata, the students said a lot about me. Some said I am an introvert. The question is if I take friends and I loose my education, whom am I to blame? "	Negative
I hate a bad smelling cucumber.	Negative
"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness."	Negative
"After having quarelled unnecessarily and without any reason, and having been stupidly cross in everyday."	Negative
At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.	Negative
Friends who torture animals.	Negative
Being treated unfairly bu my colleagues in school affects my studies	Negative
Forced to fill in a questionnaire that I did not want to fill. This is beacause I was learning to write exams.	Negative
"I felt some disgust for my boyfriend for a time, after he had left me."	Negative
I found some worms in the food and I had obviously eaten some from school meal. This kept me thinking.	Negative
"I lied, to be precise I cancelled a meeting with a good friend."	Negative
"I took my grandmother's money without telling her and when asked if it was me who had taken the money, I denied it."	Negative
If a guy is not interested in makes advances you but you like him	Negative
"In a warm bus full of people, someone vomited and the whole bus stank."	Negative
"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program."	Negative
"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest."	Negative
My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.	Negative
Mad at my dad who refuses to pay my fees last term.	Negative
Nearly caught masturbating.	Negative
One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.	Negative
"When a member of the family complains about the food that is served, it disgusts me."	Negative
"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong."	Negative
When I lied at home.   I told them that I was going to a Christian meeting and I went to see my boyfriend instead.	Negative
"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later."	Negative
When someone does something wrong which affects me negatively.	Negative
While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.	Negative
"Three months after my father went to Accra to work, every day the remaining one of his brother you come to our house and talk saying that my father have been sending us money without given him some. "	Negative
I realised that my girlfriend in school visit our maths teacher a lot of time and I hate that 	Negative
I hate mathematics and I donŐt know how to be good in it.	Negative
Our mathematics teacher teaches so fast that we donŐt get him at times in class. This is so bad.	Negative
When I slept with a guy because my best friend wanted me to.  He had never had intercourse with anyone and had a terrible complex about it.	Negative
I am the shy type hence I find it difficult to relate that much with a staff. But life in school is cool	Negative
"Unfortunately, due to my stay at home all the time, the television has become my only best friend. With my parents not always at home has led me into watching adult movies late at night."	Negative
"Frankly speaking, the unfortunate thing about me is that I come from a home with a very low standard of living."	Negative 
"For instance, if my parents do not have money to cater for me and also to pay my school fees it would not boost me to stay more and there should be reduction in my performance during exams time."	Negative
" Being traders, my parents sometimes find it difficult to pay my school fees and others and this sometimes affect my education "	Negative
My life has always been so full of question without answers. Answers which I seek but do not find.	Negative
"Ever since I started Senior High School, I have noticed that my mum has not been doing well financially. "	Negative
